input_text,response_text
I would also like a Quarter Pounder with Cheese.,Got it. Anything else?
I would also like a Kane's box 3 finger.,Got it. Anything else?
"A Sprite, please.","Sure, a Pepperoni Pizza with onions, extra cheese and a Sprite. Your total is [TOTAL_AMOUNT]. Is that correct?"
I would like to order a Cheeseburger.,Would you like anything else with your Cheeseburger?
"A Coke, please.","Sure, a Quarter Pounder with Cheese Deluxe with no pickles, extra patty and a Coke. Your total is [TOTAL_AMOUNT]. Is that correct?"
I would also like a Kane's box 3 finger.,Got it. Anything else?
I would also like a Cheeseburger.,Got it. Anything else?
"Actually, remove the Kane's box 4 finger.","Okay, removed the Kane's box 4 finger. Anything else?"
I would also like a Cheeseburger.,Got it. Anything else?
I would like to change my order to a Kane's box 3 finger.,"Sure, changed to a Kane's box 3 finger. Anything else?"
"Yes, add extra toast.",Got it. Anything else?
I would like to change my order to a Kane's box 3 finger.,"Sure, changed to a Kane's box 3 finger. Anything else?"
"Yes, add extra toast.",Got it. Anything else?
I would also like a Cheeseburger.,Got it. Anything else?
I would like to order a McDouble.,Would you like anything else with your McDouble?
I would like to change my order to a McDouble.,"Sure, changed to a McDouble. Anything else?"
"Yes, add extra chicken tender.",Got it. Anything else?
"Actually, remove the Kane's box 6 finger.","Okay, removed the Kane's box 6 finger. Anything else?"
"Actually, remove the Kane's box 6 finger.","Okay, removed the Kane's box 6 finger. Anything else?"
I would like to order a Kane's box 3 finger.,Would you like anything else with your Kane's box 3 finger?
I would also like a Kane's box 6 finger.,Got it. Anything else?
I would also like a Cheese Pizza.,Got it. Anything else?
I would like to change my order to a Pepperoni Pizza.,"Sure, changed to a Pepperoni Pizza. Anything else?"
"Yes, add extra cheese.",Got it. Anything else?
I would like to order a Cheese Pizza.,Would you like anything else with your Cheese Pizza?
"A pink lemonade, please.","Sure, a Quarter Pounder with Cheese Deluxe with no pickles and a pink lemonade. Your total is [TOTAL_AMOUNT]. Is that correct?"
I would like to order a McDouble.,Would you like anything else with your McDouble?
I would like to order a Quarter Pounder with Cheese Deluxe.,Would you like anything else with your Quarter Pounder with Cheese Deluxe?
I would like to order a McDouble.,Would you like anything else with your McDouble?
"Yes, add extra patty.",Got it. Anything else?
"Yes, add no onions.",Got it. Anything else?
"Actually, remove the Kane's box 4 finger.","Okay, removed the Kane's box 4 finger. Anything else?"
"Yes, add extra toast.",Got it. Anything else?
I would like to order a McDouble.,Would you like anything else with your McDouble?
"Yes, add extra sauce.",Got it. Anything else?
"Actually, remove the Quarter Pounder with Cheese Deluxe.","Okay, removed the Quarter Pounder with Cheese Deluxe. Anything else?"
"Yes, add no onions.",Got it. Anything else?
"Yes, add extra cheese.",Got it. Anything else?
"Yes, add extra cheese.",Got it. Anything else?
I would also like a McDouble.,Got it. Anything else?
I would like to order a Cheeseburger.,Would you like anything else with your Cheeseburger?
I would like to order a Quarter Pounder with Cheese Deluxe.,Would you like anything else with your Quarter Pounder with Cheese Deluxe?
"No, that's all.","Sure, Quarter Pounder with Cheese Deluxe, Quarter Pounder with Cheese, Kane's box 3 finger, Kane's box 6 finger. Can I have your name for the order?"
I would like to change my order to a Kane's box 3 finger.,"Sure, changed to a Kane's box 3 finger. Anything else?"
I would like to change my order to a McDouble.,"Sure, changed to a McDouble. Anything else?"
I would like to change my order to a Cheese Pizza.,"Sure, changed to a Cheese Pizza. Anything else?"
I would also like a Quarter Pounder with Cheese Deluxe.,Got it. Anything else?
"Yes, add onions.",Got it. Anything else?
"A Coke, please.","Sure, a Kane's box 3 finger with extra toast and a Coke. Your total is [TOTAL_AMOUNT]. Is that correct?"
"No, that's all.","Sure, Kane's box 4 finger, Pepperoni Pizza, McDouble, Cheese Pizza. Can I have your name for the order?"
"Yes, add extra cheese.",Got it. Anything else?
"Yes, add no ketchup.",Got it. Anything else?
"No, that's all.","Sure, Quarter Pounder with Cheese, Pepperoni Pizza, Cheeseburger. Can I have your name for the order?"
"Yes, add extra sauce.",Got it. Anything else?
I would like to order a Kane's box 6 finger.,Would you like anything else with your Kane's box 6 finger?
"Yes, add extra chicken tender.",Got it. Anything else?
"Yes, add extra sauce.",Got it. Anything else?
I would like to change my order to a Quarter Pounder with Cheese Deluxe.,"Sure, changed to a Quarter Pounder with Cheese Deluxe. Anything else?"
"Yes, add extra chicken tender.",Got it. Anything else?
"Yes, add onions.",Got it. Anything else?
"Yes, add extra cheese.",Got it. Anything else?
"Yes, add no pickles.",Got it. Anything else?
"Yes, add no pickles.",Got it. Anything else?
"A Sprite, please.","Sure, a Kane's box 6 finger with extra sauce, extra chicken tender and a Sprite. Your total is [TOTAL_AMOUNT]. Is that correct?"
"Yes, add no cheese.",Got it. Anything else?
"A Coke, please.","Sure, a Pepperoni Pizza with beef and a Coke. Your total is [TOTAL_AMOUNT]. Is that correct?"
I would like to order a Cheese Pizza.,Would you like anything else with your Cheese Pizza?
"Actually, remove the Big Mac.","Okay, removed the Big Mac. Anything else?"
I would like to order a Cheeseburger.,Would you like anything else with your Cheeseburger?
"A Coke, please.","Sure, a Kane's box 4 finger with extra toast, extra sauce, extra chicken tender and a Coke. Your total is [TOTAL_AMOUNT]. Is that correct?"
I would like to order a Kane's box 3 finger.,Would you like anything else with your Kane's box 3 finger?
"Yes, add no cheese.",Got it. Anything else?
I would also like a Kane's box 4 finger.,Got it. Anything else?
I would like to change my order to a Quarter Pounder with Cheese Deluxe.,"Sure, changed to a Quarter Pounder with Cheese Deluxe. Anything else?"
I would like to order a Kane's box 4 finger.,Would you like anything else with your Kane's box 4 finger?
I would like to order a Cheeseburger.,Would you like anything else with your Cheeseburger?
"A lemonade, please.","Sure, a Cheese Pizza with no cheese, extra cheese and a lemonade. Your total is [TOTAL_AMOUNT]. Is that correct?"
I would like to order a Pepperoni Pizza.,Would you like anything else with your Pepperoni Pizza?
